fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
01001,21,10,13344,17010.0,6652,4859,1833,0,47.61904761904762,23903.0,0.5582562858218634,0.7116261557126721,55.82562858218634
01003,149,122,1131002,3150886.0,229642,221592,459652,220116,81.87919463087249,134455.0,8.411751143505262,23.43450224982336,841.1751143505262
01005,53,42,41168,101658.0,7274,7927,23115,2852,79.24528301886792,12916.0,3.1873645091359553,7.870703004026014,318.73645091359555
01007,6,2,1972,1972.0,482,1490,0,0,33.333333333333336,8878.0,0.22212209957197568,0.22212209957197568,22.21220995719757
01009,3,0,0,0.0,0,0,0,0,0.0,25128.0,0.0,0.0,0.0
01011,31,24,3939,6604.0,1639,1068,1165,67,77.41935483870968,4564.0,0.8630587204206837,1.4469763365468886,86.30587204206836
01013,74,53,43618,85866.0,13668,11727,16289,1934,71.62162162162163,9645.0,4.522343182996371,8.902643856920685,452.2343182996371
01015,1,0,0,0.0,0,0,0,0,0.0,56376.0,0.0,0.0,0.0
01017,10,4,2923,4183.0,1437,856,630,0,40.0,17655.0,0.1655621636930048,0.2369300481450014,16.55621636930048
01019,1,0,0,0.0,0,0,0,0,0.0,15179.0,0.0,0.0,0.0
01021,12,3,780,780.0,780,0,0,0,25.0,19625.0,0.039745222929936305,0.039745222929936305,3.9745222929936306
01023,43,34,13228,29803.0,4402,2364,5245,1217,79.06976744186046,13891.0,0.9522712547692751,2.1454898855373985,95.22712547692751
01025,75,57,16152,37676.0,5389,3166,5487,2110,76.0,11158.0,1.4475712493278365,3.376590786879369,144.75712493278365
01027,1,1,80,80.0,80,0,0,0,100.0,6806.0,0.011754334410813987,0.011754334410813987,1.1754334410813987
01031,86,70,78274,193812.0,19190,14974,35004,9106,81.3953488372093,49054.0,1.5956700778733641,3.950992783463122,159.56700778733642
