FIPS,exposed_units,county_name,state_fips
01001,23903.0,Autauga,01
01003,134455.0,Baldwin,01
01005,12916.0,Barbour,01
01007,8878.0,Bibb,01
01009,25128.0,Blount,01
01011,4564.0,Bullock,01
01013,9645.0,Butler,01
01015,56376.0,Calhoun,01
01017,17655.0,Chambers,01
01019,15179.0,Cherokee,01
01021,19625.0,Chilton,01
01023,13891.0,Choctaw,01
01025,11158.0,Clarke,01
01027,6806.0,Clay,01
01029,7090.0,Cleburne,01
01031,49054.0,Coffee,01
01033,28877.0,Colbert,01
01035,6564.0,Conecuh,01
01037,5892.0,Coosa,01
01039,20999.0,Covington,01
01041,7476.0,Crenshaw,01
01043,42465.0,Cullman,01
01045,23984.0,Dale,01
01047,20391.0,Dallas,01
01049,37270.0,DeKalb,01
01051,33928.0,Elmore,01
01053,19366.0,Escambia,01
01055,49918.0,Etowah,01
01057,9093.0,Fayette,01
01059,14866.0,Franklin,01
01061,14754.0,Geneva,01
01063,4230.0,Greene,01
01065,7471.0,Hale,01
01067,9862.0,Henry,01
01069,55379.0,Houston,01
01071,27046.0,Jackson,01
01073,324270.0,Jefferson,01
01075,7028.0,Lamar,01
01077,46677.0,Lauderdale,01
01079,15865.0,Lawrence,01
01081,72613.0,Lee,01
01083,43332.0,Limestone,01
01085,4546.0,Lowndes,01
01087,10134.0,Macon,01
01089,175636.0,Madison,01
01091,10367.0,Marengo,01
01093,14638.0,Marion,01
01095,46754.0,Marshall,01
01097,184817.0,Mobile,01
01099,10900.0,Monroe,01
01101,110129.0,Montgomery,01
01103,55945.0,Morgan,01
01105,4673.0,Perry,01
01107,8144.0,Pickens,01
01109,18021.0,Pike,01
01111,13571.0,Randolph,01
01113,26160.0,Russell,01
01115,39104.0,St. Clair,01
01117,90930.0,Shelby,01
01119,8819.0,Sumter,01
01121,40776.0,Talladega,01
01123,24472.0,Tallapoosa,01
01125,91862.0,Tuscaloosa,01
01127,33298.0,Walker,01
01129,8680.0,Washington,01
01131,5691.0,Wilcox,01
01133,13782.0,Winston,01
09001,394399.0,Fairfield,09
09003,388841.0,Hartford,09
09005,94474.0,Litchfield,09
09007,78306.0,Middlesex,09
09009,382784.0,New Haven,09
09011,122780.0,New London,09
09013,62211.0,Tolland,09
09015,53651.0,Windham,09
10001,78453.0,Kent,10
10003,237035.0,New Castle,10
10005,151019.0,Sussex,10
12001,124665.0,Alachua,12
12003,11165.0,Baker,12
12005,110926.0,Bay,12
12007,12552.0,Bradford,12
12009,304745.0,Brevard,12
12011,897587.0,Broward,12
12013,7054.0,Calhoun,12
12015,130216.0,Charlotte,12
12017,87644.0,Citrus,12
12019,89757.0,Clay,12
12021,231601.0,Collier,12
12023,32458.0,Columbia,12
12027,17075.0,DeSoto,12
12029,10104.0,Dixie,12
12031,462469.0,Duval,12
12033,155649.0,Escambia,12
12035,56661.0,Flagler,12
12037,9273.0,Franklin,12
12039,21145.0,Gadsden,12
12041,8264.0,Gilchrist,12
12043,8476.0,Glades,12
12045,9710.0,Gulf,12
12047,6620.0,Hamilton,12
12049,11842.0,Hardee,12
12051,18550.0,Hendry,12
12053,96982.0,Hernando,12
12055,62481.0,Highlands,12
12057,604033.0,Hillsborough,12
12059,9652.0,Holmes,12
12061,89567.0,Indian River,12
12063,21638.0,Jackson,12
12065,7978.0,Jefferson,12
12067,4046.0,Lafayette,12
12069,193545.0,Lake,12
12071,428762.0,Lee,12
12073,142168.0,Leon,12
12075,21831.0,Levy,12
12077,3530.0,Liberty,12
12079,8764.0,Madison,12
12081,218721.0,Manatee,12
12083,199294.0,Marion,12
12085,87075.0,Martin,12
12086,1107178.0,Miami-Dade,12
12087,58120.0,Monroe,12
12089,45110.0,Nassau,12
