,damage,stcode,ccode,rain1hr,raintot,stide,stidemhhw,windmax,year,gdp,pop,region
1,0,13,191,0.2275,0.614689769,1.177961791,0.07657414,19.22394438,1996,123633.5474,11386.06165,2
2,0,13,179,0.652173913,2.684057555,1.202883461,0.094387521,19.34230418,1996,1499780.404,63748.58271,2
3,0,13,29,1.307363014,4.799407102,1.203476135,0.080231184,19.39331971,1996,44636.86617,19001.5812,2
4,0,13,51,0.932412791,2.221656977,1.201190899,0.101931561,20.86306257,1996,5551563.308,215585.3549,2
5,0,45,53,0.99122807,4.162280702,1.178146964,0.078864864,20.84021276,1996,93523.6782,17551.83008,2
6,0,45,13,0.831407563,3.691701681,1.174778646,0.094357706,22.99404153,1996,3424642.004,108997.4113,2
7,0,45,29,1.760989011,4.047046703,1.041731697,0.050989746,23.49763059,1996,756262.4895,39244.58872,2
8,0,45,19,2.658571429,7.613571429,1.0144212,0.149521061,34.72892554,1996,6594963.386,279804.9624,2
9,11000,37,19,9.100243506,28.79839681,1.758776724,1.033810348,55.58480972,1996,1502829.064,57207.50752,2
10,19000,37,129,8.989224138,31.39439655,1.962192976,1.242489459,54.61866316,1996,4210016.112,149482.1301,2
11,14500,37,141,4.979895105,34.19190975,1.993920923,1.266064142,52.46610273,1996,215158.7038,35397.53308,2
12,103000,37,133,6.617788462,42.29398096,1.948673968,1.21703295,50.63963205,1996,3472464.156,135838.0233,2
13,56000,37,31,5.742324561,32.11049157,1.691665844,0.990565844,46.89774677,1996,1000483.111,58102.74286,2
14,3050,37,95,3.814453125,20.27661189,0.785860248,0.317146646,43.51571197,1996,140139.7962,6142.252632,2
15,50,37,55,4.391180203,22.15771141,0.664121825,0.126448299,42.03663881,1996,987885.8594,30344.34737,2
16,230,37,53,7.387126866,23.99867142,0.682291589,0.085091589,42.15933286,1996,183611.9977,17751.26692,2
17,60,24,9,4.125,12.93803419,1.165199567,0.848699567,37.63727932,1996,1293718.69,78853.13835,3
18,0,24,15,2.964939024,11.70687451,0.605704161,0.226504161,39.9028324,1996,1041924.398,89810.54135,3
19,0,24,29,1.7265625,6.627951389,0.861430799,0.547390547,40.37298621,1996,540392.2617,19766.09023,3
20,0,24,35,2.140384615,9.258799534,0.865649496,0.549559501,40.2156369,1996,643143.7992,40951.54812,3
21,0,24,41,5.922794118,20.51903887,1.59936545,1.254233646,39.19096341,1996,1128412.99,35062.41955,3
22,0,24,19,4.720794393,22.35820119,1.684717878,1.324817878,39.98982986,1996,795335.9812,30838.45414,3
23,0,24,39,5.991666667,23.16991902,2.034291864,1.637291864,40.85866097,1996,375994.1195,25898.67218,3
24,115,24,47,6.816666667,33.43402778,0.721253293,0.153181723,41.37796114,1996,1306138.137,48473.60752,3
25,0,10,5,3.531462585,15.68987722,1.29863307,0.46393307,42.08103962,1996,3941172.265,142072.8722,3
26,0,10,1,1.637195122,8.041689504,1.966113985,0.966813985,41.8270273,1996,3611270.295,119773.7759,3
27,0,10,3,2.197674419,10.48787395,1.989635169,1.065635169,40.73528073,1996,29564928.29,497121.4985,3
28,0,34,33,2.163915094,8.102780536,2.016869257,1.073769257,41.92512823,1996,4315875.465,66475.11429,3
29,0,34,11,3.635833333,10.86875,1.94454898,0.93184898,42.60934806,1996,3702856.942,150735.8744,3
30,0,34,9,2.981534091,10.34375,1.431447258,0.464047258,42.77192542,1996,3153190.792,104605.403,3
31,0,34,1,4.884943182,17.92944619,0.703156505,-0.006343495,42.88290799,1996,11035141.95,266783.3895,3
32,0,34,29,2.302544248,14.3125026,0.745927716,0.028427716,42.82360161,1996,9892952.832,518541.3835,3
33,0,34,25,2.2625,9.134334416,0.882436182,0.059345776,42.50050321,1996,20334706.62,629790.4857,3
34,0,34,13,4.264204545,12.41477273,0.91072546,0.055148865,41.48598638,1996,32857424.24,783578.6526,3
35,0,34,3,4.146875,12.87193287,0.662838428,-0.060840863,42.97520723,1996,39532168.44,868410.0489,3
36,0,36,47,2.698529412,9.621323529,0.941329891,0.062044758,42.34904842,1996,21150333.55,2397156.144,3
37,0,36,59,1.98537234,8.291223404,1.306199367,0.093331009,44.38871269,1996,48152592.23,1320403.931,3
38,0,36,87,6.699519231,13.13509615,0.560736616,-0.003198025,43.76091495,1996,11731567.74,281615.2662,3
39,0,36,119,5.036091549,15.83663301,1.301178923,0.078378923,44.21455075,1996,34278286.45,915123.6188,3
40,0,9,1,7.114130435,24.08657487,1.287315995,0.069854715,44.26261484,1996,53801341.65,868902.6015,3
41,0,44,9,6.50375,21.11065789,1.715829355,1.001114927,43.697973,1996,3213433.441,127308.0865,3
42,0,44,3,5.154017857,18.0467437,2.140183764,1.381483764,43.68501935,1996,5285455.242,171947.3767,3
