fips,exposure_units
01001,23903.0
01003,134455.0
01005,12916.0
01007,8878.0
01009,25128.0
01011,4564.0
01013,9645.0
01015,56376.0
01017,17655.0
01019,15179.0
01021,19625.0
01023,13891.0
01025,11158.0
01027,6806.0
01031,49054.0
01035,6564.0
01037,5892.0
01039,20999.0
01041,7476.0
01043,42465.0
01045,23984.0
01047,20391.0
01049,37270.0
01051,33928.0
01053,19366.0
01055,49918.0
01057,9093.0
01061,14754.0
01063,4230.0
01065,7471.0
01067,9862.0
01069,55379.0
01071,27046.0
01073,324270.0
01075,7028.0
01077,46677.0
01081,72613.0
01085,4546.0
01087,10134.0
01089,175636.0
01091,10367.0
01093,14638.0
01095,46754.0
01097,184817.0
01099,10900.0
01101,110129.0
01105,4673.0
01107,8144.0
01109,18021.0
01111,13571.0
01113,26160.0
01115,39104.0
01117,90930.0
01119,8819.0
01121,40776.0
01123,24472.0
01125,91862.0
01127,33298.0
01129,8680.0
01131,5691.0
01133,13782.0
09001,394399.0
09003,388841.0
09005,94474.0
09007,78306.0
09009,382784.0
09011,122780.0
09013,62211.0
09015,53651.0
10001,78453.0
10003,237035.0
10005,151019.0
12001,124665.0
12003,11165.0
12005,110926.0
12007,12552.0
12009,304745.0
12011,897587.0
12013,7054.0
12015,130216.0
12017,87644.0
12019,89757.0
12021,231601.0
12023,32458.0
12027,17075.0
12029,10104.0
12031,462469.0
12033,155649.0
12035,56661.0
12037,9273.0
12039,21145.0
12041,8264.0
12043,8476.0
12045,9710.0
12047,6620.0
12049,11842.0
12051,18550.0
12053,96982.0
12055,62481.0
12057,604033.0
12059,9652.0
12061,89567.0
12063,21638.0
12065,7978.0
12067,4046.0
12069,193545.0
12071,428762.0
12073,142168.0
12075,21831.0
12077,3530.0
12079,8764.0
12081,218721.0
12083,199294.0
12085,87075.0
12086,1107178.0
12087,58120.0
12089,45110.0
12091,105882.0
12093,23163.0
12095,569175.0
12097,162224.0
12099,712349.0
12101,283753.0
12103,548311.0
12105,336343.0
12107,42962.0
12109,119664.0
12111,151270.0
12113,79847.0
12115,269096.0
12117,195491.0
12119,75359.0
12121,22781.0
12123,11975.0
12125,5293.0
12127,281109.0
12129,15046.0
12131,59387.0
12133,12305.0
13001,10125.0
13003,4551.0
13005,6471.0
13007,1303.0
13009,21932.0
13011,10548.0
13013,32661.0
13017,8876.0
13019,10592.0
13021,75683.0
13023,6629.0
13025,10489.0
13027,10149.0
13029,18178.0
13031,36552.0
13033,14412.0
13035,9690.0
13037,2836.0
13039,25388.0
13043,5960.0
13045,54530.0
13049,5777.0
13051,138758.0
13053,3111.0
13059,54185.0
13061,2222.0
13063,114179.0
13065,3835.0
13069,22635.0
13071,25374.0
13073,59330.0
13075,9714.0
