atcf_id,storm,fips,county,state,disaster_numbers,fema_total_damage,valid_registrations,coverage
AL092012,Isaac,22003,Allen,LA,4080,60836.08,62.0,all_declared
AL092012,Isaac,22005,Ascension,LA,4080,1971004.36,2034.0,all_declared
AL092012,Isaac,22007,Assumption,LA,4080,839398.03,833.0,all_declared
AL092012,Isaac,22033,East Baton Rouge,LA,4080,1175415.76,2383.0,all_declared
AL092012,Isaac,22037,East Feliciana,LA,4080,210822.23,347.0,all_declared
AL092012,Isaac,22047,Iberville,LA,4080,807071.4,807.0,all_declared
AL092012,Isaac,22051,Jefferson,LA,4080,18552670.36,30133.0,all_declared
AL092012,Isaac,22057,Lafourche,LA,4080,3754382.57,3044.0,all_declared
AL092012,Isaac,22063,Livingston,LA,4080,9991826.62,3835.0,all_declared
AL092012,Isaac,22067,Morehouse,LA,4080,34573.6,65.0,all_declared
AL092012,Isaac,22071,Orleans,LA,4080,10403641.68,20635.0,all_declared
AL092012,Isaac,22075,Plaquemines,LA,4080,32830399.7,4160.0,all_declared
AL092012,Isaac,22077,Pointe Coupee,LA,4080,78947.96,193.0,all_declared
AL092012,Isaac,22087,St. Bernard,LA,4080,2982650.33,4421.0,all_declared
AL092012,Isaac,22089,St. Charles,LA,4080,2259843.82,3013.0,all_declared
AL092012,Isaac,22091,St. Helena,LA,4080,460784.65,782.0,all_declared
AL092012,Isaac,22093,St. James,LA,4080,1617271.2,1450.0,all_declared
AL092012,Isaac,22095,St. John the Baptist,LA,4080,68468590.98,8237.0,all_declared
AL092012,Isaac,22099,St. Martin,LA,4080,209664.04,253.0,all_declared
AL092012,Isaac,22101,St. Mary,LA,4080,1747921.57,1560.0,all_declared
AL092012,Isaac,22103,St. Tammany,LA,4080,16590064.18,9079.0,all_declared
AL092012,Isaac,22105,Tangipahoa,LA,4080,10354343.12,6459.0,all_declared
AL092012,Isaac,22109,Terrebonne,LA,4080,3198578.47,2674.0,all_declared
AL092012,Isaac,22117,Washington,LA,4080,2625781.79,1895.0,all_declared
AL092012,Isaac,22121,West Baton Rouge,LA,4080,210136.69,285.0,all_declared
AL092012,Isaac,22125,West Feliciana,LA,4080,138644.74,140.0,all_declared
AL092012,Isaac,28001,Adams,MS,4081,244724.04,354.0,all_declared
AL092012,Isaac,28005,Amite,MS,4081,288655.52,444.0,all_declared
AL092012,Isaac,28023,Clarke,MS,4081,197455.83,261.0,all_declared
AL092012,Isaac,28029,Copiah,MS,4081,214751.66,195.0,all_declared
AL092012,Isaac,28035,Forrest,MS,4081,344138.29,310.0,all_declared
AL092012,Isaac,28037,Franklin,MS,4081,78489.28,172.0,all_declared
AL092012,Isaac,28039,George,MS,4081,171143.5,320.0,all_declared
AL092012,Isaac,28045,Hancock,MS,4081,2466982.86,1442.0,all_declared
AL092012,Isaac,28047,Harrison,MS,4081,1907666.42,2473.0,all_declared
AL092012,Isaac,28049,Hinds,MS,4081,141648.71,203.0,all_declared
AL092012,Isaac,28059,Jackson,MS,4081,5913106.08,2834.0,all_declared
AL092012,Isaac,28063,Jefferson,MS,4081,79474.58,228.0,all_declared
AL092012,Isaac,28067,Jones,MS,4081,101801.67,83.0,all_declared
AL092012,Isaac,28073,Lamar,MS,4081,80262.62,145.0,all_declared
AL092012,Isaac,28085,Lincoln,MS,4081,266525.62,774.0,all_declared
AL092012,Isaac,28091,Marion,MS,4081,553742.88,937.0,all_declared
AL092012,Isaac,28109,Pearl River,MS,4081,3373117.14,1683.0,all_declared
AL092012,Isaac,28113,Pike,MS,4081,1075794.4,1672.0,all_declared
AL092012,Isaac,28131,Stone,MS,4081,365390.0,328.0,all_declared
AL092012,Isaac,28147,Walthall,MS,4081,813839.88,975.0,all_declared
AL092012,Isaac,28149,Warren,MS,4081,79025.88,143.0,all_declared
AL092012,Isaac,28157,Wilkinson,MS,4081,121995.57,301.0,all_declared
AL092016,Hermine,12017,Citrus,FL,4280,4361862.71,769.0,all_declared
AL092016,Hermine,12029,Dixie,FL,4280,1370561.89,330.0,all_declared
AL092016,Hermine,12053,Hernando,FL,4280,866814.75,259.0,all_declared
AL092016,Hermine,12057,Hillsborough,FL,4280,159887.29,174.0,all_declared
AL092016,Hermine,12073,Leon,FL,4280,574644.66,866.0,all_declared
AL092016,Hermine,12075,Levy,FL,4280,902533.99,296.0,all_declared
AL092016,Hermine,12081,Manatee,FL,4280,208462.19,116.0,all_declared
AL092016,Hermine,12101,Pasco,FL,4280,1871145.66,664.0,all_declared
AL092016,Hermine,12103,Pinellas,FL,4280,294991.21,411.0,all_declared
AL092016,Hermine,12123,Taylor,FL,4280,889109.27,272.0,all_declared
AL092016,Hermine,12129,Wakulla,FL,4280,75509.59,117.0,all_declared
AL092017,Harvey,48007,Aransas,TX,4332,42012481.79,9309.0,all_declared
AL092017,Harvey,48015,Austin,TX,4332,2251707.85,576.0,all_declared
AL092017,Harvey,48021,Bastrop,TX,4332,977021.02,591.0,all_declared
AL092017,Harvey,48025,Bee,TX,4332,859503.55,1595.0,all_declared
AL092017,Harvey,48039,Brazoria,TX,4332,104940664.29,23647.0,all_declared
AL092017,Harvey,48055,Caldwell,TX,4332,316855.8,215.0,all_declared
AL092017,Harvey,48057,Calhoun,TX,4332,4204607.69,4021.0,all_declared
AL092017,Harvey,48071,Chambers,TX,4332,30337426.44,4387.0,all_declared
AL092017,Harvey,48089,Colorado,TX,4332,1603072.42,571.0,all_declared
