GEOID,county,state,event,year,atcf_id,n_changed,n_improved,n_equal,n_abandoned,improvement_rate,rebuild_rate,abandonment_rate,recovery_score,COAST,HAZARD
22019,Calcasieu,LA,Hurricane Harvey,2017,AL092017,5,0,1,4,0.0,0.2,0.8,-0.8,0,0
48007,Aransas,TX,Hurricane Harvey,2017,AL092017,50,25,10,15,0.5,0.7,0.3,0.2,166,0
48039,Brazoria,TX,Hurricane Harvey,2017,AL092017,3,1,1,1,0.3333,0.6667,0.3333,0.0,163,0
48057,Calhoun,TX,Hurricane Harvey,2017,AL092017,1,0,1,0,0.0,1.0,0.0,0.0,165,0
48089,Colorado,TX,Hurricane Harvey,2017,AL092017,2,0,0,2,0.0,0.0,1.0,-1.0,0,0
48157,Fort Bend,TX,Hurricane Harvey,2017,AL092017,92,42,18,32,0.4565,0.6522,0.3478,0.1087,0,0
48167,Galveston,TX,Hurricane Harvey,2017,AL092017,18,13,1,4,0.7222,0.7778,0.2222,0.5,162,0
48201,Harris,TX,Hurricane Harvey,2017,AL092017,2593,1483,490,620,0.5719,0.7609,0.2391,0.3328,0,0
48245,Jefferson,TX,Hurricane Harvey,2017,AL092017,106,20,33,53,0.1887,0.5,0.5,-0.3113,161,0
48273,Kleberg,TX,Hurricane Harvey,2017,AL092017,293,168,54,71,0.5734,0.7577,0.2423,0.3311,168,0
48291,Liberty,TX,Hurricane Harvey,2017,AL092017,3,1,2,0,0.3333,1.0,0.0,0.3333,0,0
48321,Matagorda,TX,Hurricane Harvey,2017,AL092017,9,3,1,5,0.3333,0.4444,0.5556,-0.2223,164,0
48339,Montgomery,TX,Hurricane Harvey,2017,AL092017,79,23,49,7,0.2911,0.9114,0.0886,0.2025,0,0
48355,Nueces,TX,Hurricane Harvey,2017,AL092017,7,5,0,2,0.7143,0.7143,0.2857,0.4286,167,0
48361,Orange,TX,Hurricane Harvey,2017,AL092017,42,15,9,18,0.3571,0.5714,0.4286,-0.0715,0,0
48409,San Patricio,TX,Hurricane Harvey,2017,AL092017,12,4,3,5,0.3333,0.5833,0.4167,-0.0834,0,0
48469,Victoria,TX,Hurricane Harvey,2017,AL092017,32,9,8,15,0.2812,0.5312,0.4688,-0.1876,0,0
48473,Waller,TX,Hurricane Harvey,2017,AL092017,1,0,1,0,0.0,1.0,0.0,0.0,0,0
48481,Wharton,TX,Hurricane Harvey,2017,AL092017,11,1,7,3,0.0909,0.7273,0.2727,-0.1818,0,0
12017,Citrus,FL,Hurricane Hermine,2016,AL092016,53,29,9,15,0.5472,0.717,0.283,0.2642,132,0
12123,Taylor,FL,Hurricane Hermine,2016,AL092016,3,3,0,0,1.0,1.0,0.0,1.0,135,0
12129,Wakulla,FL,Hurricane Hermine,2016,AL092016,1,0,0,1,0.0,0.0,1.0,-1.0,137,0
12015,Charlotte,FL,Hurricane Irma,2017,AL112017,18,5,10,3,0.2778,0.8333,0.1667,0.1111,125,0
12019,Clay,FL,Hurricane Irma,2017,AL112017,1,0,0,1,0.0,0.0,1.0,-1.0,0,0
12021,Collier,FL,Hurricane Irma,2017,AL112017,294,191,47,56,0.6497,0.8095,0.1905,0.4592,123,0
12031,Duval,FL,Hurricane Irma,2017,AL112017,116,54,22,40,0.4655,0.6552,0.3448,0.1207,111,0
12057,Hillsborough,FL,Hurricane Irma,2017,AL112017,100,48,17,35,0.48,0.65,0.35,0.13,128,0
12071,Lee,FL,Hurricane Irma,2017,AL112017,63,46,9,8,0.7302,0.873,0.127,0.6032,124,0
12081,Manatee,FL,Hurricane Irma,2017,AL112017,23,20,3,0,0.8696,1.0,0.0,0.8696,127,0
12086,Miami-Dade,FL,Hurricane Irma,2017,AL112017,494,254,125,115,0.5142,0.7672,0.2328,0.2814,121,0
12087,Monroe,FL,Hurricane Irma,2017,AL112017,59,34,14,11,0.5763,0.8136,0.1864,0.3899,122,0
12089,Nassau,FL,Hurricane Irma,2017,AL112017,5,1,2,2,0.2,0.6,0.4,-0.2,110,0
12115,Sarasota,FL,Hurricane Irma,2017,AL112017,5,3,1,1,0.6,0.8,0.2,0.4,126,0
12109,St. Johns,FL,Hurricane Irma,2017,AL112017,9,7,0,2,0.7778,0.7778,0.2222,0.5556,112,0
13051,Chatham,GA,Hurricane Irma,2017,AL112017,30,15,5,10,0.5,0.6667,0.3333,0.1667,104,0
13127,Glynn,GA,Hurricane Irma,2017,AL112017,26,13,8,5,0.5,0.8077,0.1923,0.3077,108,0
45013,Beaufort,SC,Hurricane Irma,2017,AL112017,10,8,2,0,0.8,1.0,0.0,0.8,102,0
45015,Berkeley,SC,Hurricane Irma,2017,AL112017,3,3,0,0,1.0,1.0,0.0,1.0,0,0
45019,Charleston,SC,Hurricane Irma,2017,AL112017,194,147,29,18,0.7577,0.9072,0.0928,0.6649,100,0
45035,Dorchester,SC,Hurricane Irma,2017,AL112017,7,3,0,4,0.4286,0.4286,0.5714,-0.1428,0,0
22051,Jefferson,LA,Hurricane Isaac,2012,AL092012,18,8,1,9,0.4444,0.5,0.5,-0.0556,154,0
