event_index,event_name,stcode,ccode,fips,units_DS1_raw,units_DS1_scaled,units_DS2_raw,units_DS2_scaled,units_DS3_raw,units_DS3_scaled,units_DS4_raw,units_DS4_scaled,repair_cost_sum_raw,repair_cost_sum_scaled
8,AL092022,12,015,12015,0,0,0,0,3433,3433,5983,5983,430386938.23615825,430386938.23615825
8,AL092022,12,027,12027,3316,3316,0,0,129,129,538,538,47885314.00606915,47885314.00606915
8,AL092022,12,043,12043,0,0,0,0,0,0,0,0,7743.937504143745,7743.937504143737
8,AL092022,12,049,12049,180,180,0,0,1720,1720,0,0,18651842.08432483,18651842.084324826
8,AL092022,12,055,12055,7299,7299,0,0,0,0,0,0,41018160.204233736,41018160.204233706
8,AL092022,12,071,12071,0,0,0,0,14495,14495,7668,7668,1569318491.3231246,1569318491.3231246
8,AL092022,12,081,12081,49,49,0,0,0,0,0,0,123372.18162790519,123372.18162790498
8,AL092022,12,093,12093,0,0,0,0,0,0,0,0,243104.60998746753,243104.60998746892
8,AL092022,12,105,12105,0,0,0,0,0,0,0,0,5602727.355719919,5602727.355719924
8,AL092022,12,115,12115,1,1,0,0,9231,9231,0,0,355827699.96100086,355827699.9610008
