event_name,fips,reconstruction_capacity,recovery_potential_months
AL092012,22051,43.16666667,0.0
AL092012,22075,7.333333333,122.72727273285125
AL092017,48007,17.0,2061.8823529411766
AL092017,48025,1.25,189.6
AL092017,48057,7.916666667,1.0
AL092017,48123,0.75,0.0
AL092017,48175,0.833333333,171.60000006863999
AL092017,48273,2.0,3.0
AL092017,48355,116.4166667,22.88332139645431
AL092017,48391,2.0,907.0
AL092017,48409,28.66666667,107.4767441735492
AL092017,48469,3.583333333,5.023255814420768
AL092021,22005,48.25,626.3626943005181
AL092021,22007,2.5,1616.4
AL092021,22033,187.6666667,3.0
AL092021,22047,9.75,32.0
AL092021,22051,43.16666667,97.57528956775481
AL092021,22057,26.58333333,855.6489029286081
AL092021,22063,66.16666667,272.7052896588058
AL092021,22071,59.16666667,3.042253520955366
AL092021,22075,7.333333333,701.5909091227996
AL092021,22087,9.333333333,25.71428571520408
AL092021,22089,6.166666667,977.3513512985215
AL092021,22093,5.333333333,1011.9375000632461
AL092021,22095,5.083333333,740.0655738190208
AL092021,22099,4.5,3.0
AL092021,22101,3.083333333,109.945945957832
AL092021,22103,88.66666667,17.390977442955226
AL092021,22105,90.41666667,3.229493087438544
AL092021,22109,25.0,680.52
AL092022,12015,382.0833333,120.90817885460486
AL092022,12027,5.916666667,1171.4366196523133
AL092022,12043,5.416666667,0.0
AL092022,12049,10.25,520.9756097560976
AL092022,12055,81.66666667,89.37551020043365
AL092022,12071,1284.25,69.68503017325287
AL092022,12081,622.6666667,1.0
AL092022,12093,1.5,0.0
AL092022,12105,865.3333333,0.0
AL092022,12115,622.1666667,44.51218858588202
AL092022,45015,265.25,0.0
AL092022,45019,346.3333333,3.1674687202278604
AL112017,12015,382.0833333,0.0
AL112017,12021,293.3333333,47.965909096359766
AL112017,12051,46.41666667,0.0
AL112017,12071,1284.25,18.532217247420675
AL112017,12086,837.5833333,3.0
AL112017,12087,27.66666667,360.43373489633325
AL122005,1003,323.5833333,0.0
AL122005,1097,139.8333333,1.0
AL122005,12086,837.5833333,0.0
AL122005,22051,43.16666667,111.33590732730997
AL122005,22057,26.58333333,161.2664577004723
AL122005,22063,66.16666667,3.506297229042504
AL122005,22071,59.16666667,6.490140844704781
AL122005,22075,7.333333333,1404.0000000638183
AL122005,22087,9.333333333,147.85714286242347
AL122005,22089,6.166666667,372.16216214204525
AL122005,22095,5.083333333,1.0
AL122005,22103,88.66666667,514.770676672377
AL122005,22105,90.41666667,3.0
AL122005,22117,0.833333333,1860.000000744
