storm,year,atcf,n_fema,rho_fema,p_fema,detection,n_huang,rho_huang,p_huang
Katrina,2005,AL122005,16,0.34411764705882353,0.19185563142554293,0.9470691545392226,0,,
Isaac,2012,AL092012,1,,,0.15599724385657496,1,,
Hermine,2016,AL092016,0,,,0.0,0,,
Harvey,2017,AL092017,9,0.7999999999999999,0.00962792472537983,0.04449294235415133,6,-0.028571428571428574,0.9571545189504373
Irma,2017,AL112017,4,-0.6000000000000001,0.3999999999999999,0.3676222943410084,4,-0.39999999999999997,0.6
Michael,2018,AL142018,29,0.7517241379310343,2.5923428998020703e-06,0.9859384904586682,8,0.9277781834703689,0.0008914953638238524
Laura,2020,AL132020,12,0.6503496503496504,0.022034190932365288,0.9184913016096984,7,0.8153742483272114,0.025399209718455214
Ida,2021,AL092021,18,0.40350877192982454,0.09680965248246652,0.9600462207104098,0,,
Ian,2022,AL092022,8,0.8095238095238096,0.014902667686230067,0.820534846331151,0,,
Pooled (within-storm shares),,,96,0.5585322843190451,3.354245191059515e-09,,25,0.335387208759573,0.10122311602600743
